state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,226.11927367112193,22,,,,,0.015939214001660304,28,0.12266880151380069,22,53913.897063186,14,61733.68525660041,16
WI,269.95078331663433,11,,,,,0.0155045827970783,32,0.15380455600369528,15,50522.34339290946,21,62679.97128625843,13
WV,179.80534532700034,36,,,,,0.00954149434928269,48,0.19980803974706413,11,31156.143543373833,51,63157.221814071774,12
FL,210.0470172005466,24,,,,,0.018143546221060253,25,0.1202142533736933,27,43955.15747583855,29,52347.52397195376,29
WY,373.4037334479704,3,,,,,0.013629910572671189,40,0.2633854762813176,2,44808.49830999517,28,59205.98744567841,20
NH,138.1407813686098,52,,,,,0.0068970110429373566,52,0.20454296060572807,9,49869.16094420601,22,48051.97639484979,36
NJ,233.76994141505182,19,,,,,0.017253492564218115,27,0.0977262932441786,39,74324.85607376721,3,64318.8697046639,10
NM,288.81595169131253,8,,,,,0.014169185942202654,37,0.20550495988082743,7,39884.44151565074,37,59302.378912685344,19
NC,194.09846821678835,29,,,,,0.014501064352416108,34,0.17856662823025063,14,36844.308057998576,44,38114.37191981618,43
ND,199.26464824962056,26,,,,,0.009284528398686058,49,0.20460475825019186,8,42407.82895723931,33,62487.14478619654,14
NE,194.9240280314548,28,,,,,0.01171121112678235,43,0.20036815462494248,10,40902.5236564079,35,42165.689480937064,39
NY,294.36934708478645,7,,,,,0.010941116348432254,46,0.2609638082452313,3,69526.15251058358,4,33571.948698712105,50
RI,189.31502502762112,32,,,,,0.02692381134237159,3,0.05539677499029674,51,77404.76178343949,1,49525.17452229299,34
NV,255.84548742489324,14,,,,,0.010834608174590645,47,0.21030416722497655,5,60568.730805989166,10,51714.95826696401,30
CO,239.53596012411327,15,,,,,0.02068702232732998,18,0.10177745086172382,35,51979.288262739,17,61788.985454212794,15
CA,359.69795164725224,4,,,,,0.014296223239605724,36,0.15223080230964028,16,76541.46031362796,2,88736.18131994159,4
GA,234.99616896864603,18,,,,,0.054255771751184595,1,0.051203817430778405,52,34273.56292640441,47,50315.16548120191,33
CT,190.54535964936198,31,,,,,0.019293549175069178,21,0.09814270058256908,36,64240.98795180723,6,36389.19130179254,45
OK,178.35118608331703,37,,,,,0.013657635367962611,39,0.12729225811401826,21,38319.74683544304,40,64268.710066305,11
OH,157.50520240801995,45,,,,,0.027367648636240586,2,0.06617086495360953,50,49201.13299550626,23,37773.099722726845,44
KS,166.5359189955807,40,,,,,0.011188281497425819,44,0.19851961968472234,12,39367.638065522624,38,35611.61310452418,47
SC,143.0794467733066,50,,,,,0.01314206666171179,41,0.19041327640377023,13,33155.08207818582,48,24021.25909629379,52
KY,168.57645720908002,39,,,,,0.020976328087483304,17,0.08897323516297077,42,32475.05977264393,49,57849.961618384055,22
OR,274.6159986292811,10,,,,,0.01917852280410518,23,0.11243663987374784,32,55240.650410372305,12,72110.48554775782,6
SD,197.35435659984853,27,,,,,0.0158573236317621,30,0.11607345273180684,29,38512.3359375,39,68709.66927083333,8
DE,307.62116348795536,5,,,,,0.025807056750003544,6,0.12167187896204885,24,47351.099687391456,25,50617.63945814519,32
DC,378.96510456034264,2,,,,,0.023398526077097505,12,0.08553738474998318,43,65426.9551534225,5,123918.4421715185,1
HI,142.31177383709826,51,,,,,0.021434325651258,15,0.07583827421029712,45,51863.4222614841,18,35683.83922261484,46
TX,210.09060863658908,23,,,,,0.026091399916809806,4,0.0980582809470654,38,37149.00871753393,41,44966.46116054042,38
LA,288.66816483174745,9,,,,,0.023892099104749362,10,0.12116309297653999,25,41314.53353338334,34,58403.62100525131,21
TN,162.46386427513917,41,,,,,0.015863391507312658,29,0.119237116825031,28,34877.835872235875,46,51013.48271908271,31
PA,258.6826058455716,13,,,,,0.02533718954587702,8,0.09806000179257442,37,50587.99319213313,20,53527.866616238025,26
VA,266.5137960671378,12,,,,,0.010966602232864364,45,0.27333229461125824,1,40660.67345276873,36,48250.56433224756,35
AK,432.56355998856486,1,,,,,0.01964898554332557,20,0.14013226592412112,17,61757.98509687034,8,95340.37555886735,3
AL,147.75824891167255,46,,,,,0.021161461044810943,16,0.08392760802393448,44,37046.638148667604,42,46149.13090229079,37
AR,189.24287118977384,33,,,,,0.023518462007934084,11,0.11249513429349942,31,37043.163398692814,43,34484.966807638084,48
VT,201.03076318639023,25,,,,,0.014653319236334483,33,0.12043596730245232,26,48106.62081447964,24,65805.5963800905,9
IL,160.17601069710543,43,,,,,0.015612995205830649,31,0.10655827421168369,34,62565.65412270053,7,33711.68269679709,49
IN,146.63566257629674,47,,,,,0.025078193449860745,9,0.07574168049185127,46,36248.67192784668,45,40949.74971815107,40
IA,169.99221374964034,38,,,,,0.013981764894251666,38,0.10663380379938149,33,52977.03794156128,15,61040.624509376365,17
AZ,235.57419226519607,17,,,,,0.01879081228924645,24,0.12931321379579047,19,43166.67327851359,32,53781.41535371288,25
ID,191.07477484817528,30,,,,,0.025843105058316985,5,0.08905056384139687,41,43409.8954248366,31,39617.610021786495,42
ME,145.8197851560148,48,,,,,0.0069908594963690885,51,0.20930232558139536,6,46177.99382716049,26,53479.92798353909,28
MD,296.9722932764907,6,,,,,0.022254247796817925,14,0.121730044692567,23,52222.34897562809,16,57401.54677025249,23
MA,158.6864686577735,44,,,,,0.012348123727337346,42,0.07434265759791694,48,61200.051063829786,9,111662.46939443536,2
UT,181.423048661492,35,,,,,0.007637659647645659,50,0.23616270005044251,4,43914.02097087379,30,56668.11495145631,24
MO,143.09208151453848,49,,,,,0.01814006682841846,26,0.13998298246095572,18,31695.141176470588,50,24655.839215686272,51
MN,160.5615714932215,42,,,,,0.022897382548277473,13,0.07395172156296163,49,55080.131708923276,13,39741.512457469,41
MI,227.18328306919497,21,,,,,0.025515790385239694,7,0.07567659722938093,47,57095.307801121184,11,60558.43558442919,18
US,231.40853883370892,20,,,,,0.019279500611880322,22,0.11512198633932659,30,50771.41954473084,19,53490.406121892804,27
