state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,281.10188890459773,4,34.84155836623129,9,,,6.6131344762088995,7,8.628848024855324e-06,34,42036.69438123577,15,99349.17877355736,17
WI,48.753090715486486,30,12.920992340810859,21,,,3.260549810484438,45,1.553069469658121e-05,25,23437.097549255166,23,51074.61797212879,27
WV,20.665695925202268,39,4.4678677572155125,37,,,2.4765583430725817,51,5.759498437754306e-05,6,16266.491969568893,33,16161.234150464918,47
FL,71.47128162648525,22,14.347310397376795,20,,,5.819991989078124,15,1.072344441170162e-05,31,25952.332165875214,20,53866.318929554385,26
WY,4.881321146209089,52,0.8450041862182415,51,,,0.0,52,Missing Data,99,Missing Data,99,0.0,51
NH,7.985335620984532,50,2.4123471104528353,45,,,3.3179357519403583,44,6.146178051184992e-05,5,5034.498461538462,49,11197.80923076923,50
NJ,159.3989364578639,12,45.4253401306895,6,,,10.698014502494757,1,2.35564173053081e-06,48,68284.29415006691,8,70959.16699472483,21
NM,57.610258880146446,24,7.77947696290021,30,,,6.428404523115824,9,8.968845243620886e-06,33,34537.60427807487,18,93905.17647058824,19
NC,50.05292700248385,28,7.32857124831802,32,,,4.37784662226564,33,1.1013753606268105e-05,30,18850.545201184465,30,122798.70057481277,14
ND,13.115197982057987,45,3.412941335746503,41,,,3.487779753290147,43,3.626325856685064e-05,11,6357.543743809839,45,24025.42093100033,41
NE,18.463616290494087,40,3.4860928694191875,40,,,3.822070836682951,40,3.6092361011141065e-05,13,22250.162501400875,25,16143.875378236022,48
NY,666.6788820807114,2,197.8218410742209,2,,,4.638274741873495,29,8.35776674329179e-07,51,330197.1934211664,3,539154.9774210068,3
RI,110.56708057953502,16,19.44566550482265,15,,,4.3397579693654285,36,1.3873458456303518e-05,26,35656.12463485882,17,58783.18078545928,25
NV,97.84465047572903,17,26.720239760892408,12,,,3.7278712389012525,41,5.6403944852551395e-06,38,11541.852713178294,39,162609.29974160207,8
CO,74.46854359518224,20,20.600813913106453,14,,,5.995220723681132,13,2.2666541399221415e-06,49,136628.67758359708,4,129381.37333149853,11
CA,215.76350566091074,6,37.07604276408607,7,,,5.630875478118001,17,4.67379605987553e-06,42,56990.25939827355,12,164135.29453578102,6
GA,55.2075781832846,25,16.786056759754008,17,,,5.460524570026791,20,2.7777709370761256e-06,47,95627.97861809543,6,121201.943377549,15
CT,183.91079807765607,10,12.481006086754757,23,,,4.534558418719191,30,2.0600122274452688e-05,20,8240.65193528373,42,149503.34271941963,9
OK,15.440159557397463,42,1.9999117121322987,46,,,4.265622238835513,38,6.251300178921816e-05,4,4153.328748280605,50,24799.314207113384,40
OH,51.64350590486404,27,9.753427806194512,27,,,4.49909377149454,31,1.2192036094077181e-05,28,47857.93326644876,14,48670.922683582,28
KS,14.059417193411148,44,2.489721292627841,42,,,4.123408354141003,39,3.328301559714813e-05,14,12781.283845451779,37,28365.65865530879,39
SC,15.630303596244543,41,2.4541852924467156,44,,,3.6838594580052937,42,6.788593570170192e-05,3,5568.314645506296,48,19898.651026392963,44
KY,27.416666951829203,37,6.154861736092338,34,,,4.28055138357948,37,2.974690264294398e-05,15,13368.815276241485,34,21614.010595563836,43
OR,173.62755637543336,11,32.48600117372939,11,,,4.411729211862621,32,5.291564837779123e-06,39,65429.733148442516,10,163514.35181114078,7
SD,10.079040963254819,46,1.905104109746628,48,,,4.359107368961333,35,2.7575029403985434e-05,17,6185.431711145997,47,37828.173731030874,33
DE,129.84236776637317,15,12.64532911032075,22,,,6.901552940583885,6,2.4694316294425883e-05,18,21036.965587044535,26,39211.01012145749,31
DC,2145.0759385235574,1,667.9660981985387,1,,,4.755235474498213,26,4.0126905567700263e-07,52,1022379.7034840621,2,660606.4887571039,1
HI,422.1743035082706,3,55.48418399070626,4,,,5.542992489888742,19,2.2103782553913056e-06,50,4001.7997465145754,51,617026.9455006338,2
TX,90.3057721684734,18,11.176406704850562,25,,,5.8344626596195255,14,6.354529645745837e-06,36,51237.11561404643,13,166698.91590444566,5
LA,40.92605365249403,31,8.779591004407628,29,,,3.1016839687591964,48,1.988689058836016e-05,21,6297.98131290853,46,69274.06023178411,22
TN,33.58389707981671,32,4.655681323687949,36,,,5.093294079005839,22,3.624876914993644e-05,12,7441.784233860794,43,31629.332804671452,36
PA,138.58411095405083,14,36.7587142032333,8,,,4.888922928993465,24,4.62649734292951e-06,43,76068.01288451033,7,90613.57168421647,20
VA,48.893247290326315,29,9.15813417153419,28,,,7.8210670205142145,5,8.35881949694929e-06,35,13045.867699520943,36,68618.18448680053,23
AK,73.11775302599848,21,7.040196640317557,33,,,10.069007805393248,2,1.800492120362638e-05,23,17154.290001071695,31,40133.246168685015,30
AL,14.697506001057814,43,1.4386318667586648,50,,,5.766979444451017,16,3.683896740104163e-05,10,13121.026894865525,35,34967.128497690836,35
AR,8.214491574271861,49,1.9786946054996102,47,,,3.1038881969867185,47,4.0969309234038434e-05,7,16922.19916453308,32,15724.344427974665,49
VT,31.061842596999384,34,4.400387773941208,38,,,4.359943380818438,34,3.712726844696636e-05,9,24034.762331838567,22,19572.860986547086,45
IL,196.66029893512876,7,53.52891691419207,5,,,6.330154879438095,10,5.725148572349588e-06,37,38053.34182202576,16,63320.78848741112,24
IN,20.797132662101507,38,5.220854431696369,35,,,6.146078470292928,12,1.6972696063646378e-05,24,19063.5663530403,29,19123.205167813507,46
IA,28.361132468664,36,7.331739779936832,31,,,3.0056432801502133,49,2.145666564950112e-05,19,22316.039603960395,24,37665.396039603955,34
AZ,83.53557986625253,19,14.502811521732896,19,,,4.710599028615321,27,1.1872242162661884e-05,29,7401.9301940725145,44,95591.70904167295,18
ID,8.59870016733622,48,1.8897022418039722,49,,,3.236511795276583,46,3.7545992303481464e-05,8,8904.563318777293,40,28540.851528384286,38
ME,9.733612726856702,47,4.206027885159628,39,,,9.48009616873013,3,4.870159472050551e-06,41,19910.093023255813,27,30213.937984496126,37
MD,185.1545378430668,9,25.356320688059153,13,,,6.429840186193297,8,9.651514210627039e-06,32,12116.643763954655,38,105549.76302704102,16
MA,234.1718815191917,5,64.75622826247489,3,,,4.685248013334522,28,3.782859609564865e-06,46,1662.6448488021992,52,202370.34376227256,4
UT,191.63776892218183,8,15.738706021377181,18,,,6.232264020660542,11,1.2202759001140671e-05,27,30109.746891002196,19,129996.47344550109,10
MO,57.76826275820165,23,11.35866509794315,24,,,5.600864061006954,18,3.858672361567227e-06,45,111540.31235210602,5,123785.23426407953,13
MN,29.90996382383798,35,18.97769753085846,16,,,4.977244974238207,23,4.88081429659334e-06,40,66246.08078690639,9,-1369.0349109086528,52
MI,53.309526230272574,26,10.231673316788708,26,,,4.805406877840492,25,1.8665310641056255e-05,22,19755.22107699939,28,38333.62773521467,32
