state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,spendingPer_value,spendingPer_rank
WA,144.58124644458866,7,0.09905910156465456,24,0.38161652199225254,39,0.4961095816115703,5,7709.261828281542,25
WI,92.9119871455697,17,0.08534694043677457,36,0.4339519752515587,26,0.30110679226471465,25,8331.468753821899,22
WV,73.48626168558455,23,0.09581147944519773,28,0.47747732231025375,22,0.26291878589664974,27,6109.620585836566,30
FL,43.11964925547832,41,0.09358291631902964,32,0.32024739575960925,48,0.1660936102627116,37,8662.437469923283,19
WY,53.09322504824094,37,0.08510726302595209,37,0.42588483888008455,28,0.03051558752997601,52,48001.915317390434,1
NH,56.996620355880225,31,0.040839422191865725,52,0.4185763364542434,30,0.6731888313904109,2,4952.881541880431,37
NJ,119.36426753164983,10,0.07201640951028732,45,0.416964355641226,31,0.31843833358888357,21,12482.989319789893,6
NM,89.54008914212376,20,0.13067905150264572,4,0.5162113891447802,15,0.3402401424416013,16,3901.201793020857,45
NC,56.2535879652824,33,0.11514263165981016,13,0.41514331941900545,33,0.09382087062569364,49,12543.43732746834,5
ND,56.26576332892815,32,0.06676029553369207,48,0.6934744825406858,4,0.13812706274343128,44,8798.66337912523,18
NE,51.50156715957015,38,0.08358662278766918,38,0.5360827802773417,13,0.2227566089927316,32,5159.661501177618,35
NY,251.88676353462802,2,0.09330599763925311,33,0.5677867256617433,8,0.38213800874289305,11,12442.00336136641,7
RI,136.77366724184031,8,0.0793258733886962,41,0.573689890147198,6,0.32595861747712995,20,9220.361856636586,14
NV,36.52112261706449,43,0.1158157703589731,11,0.5380282594733462,12,0.16250330565631801,39,3606.6926220220575,48
CO,61.224420193993836,27,0.08137620796663661,40,0.33885851620362983,44,0.24628502309323375,29,9015.10574227832,17
CA,163.4416854464109,4,0.11547220188046889,12,0.5403965392216836,11,0.6063521958764805,4,4319.643153927717,40
GA,54.07793105232119,35,0.12127724954217665,9,0.38980797334200096,36,0.07981057061669336,50,14332.752276666257,3
CT,132.38680860111413,9,0.06580135792144468,49,0.3376423349173456,45,0.38893089358974353,10,15320.767446336009,2
OK,39.82795513276445,42,0.12162539306015747,8,0.3873730894534746,37,0.11027278299419212,46,7665.949782141098,26
OH,91.86297023719595,18,0.09860841074465597,25,0.4992805020993937,18,0.33348635371840357,18,5595.048435682973,32
KS,57.094426844620266,30,0.11418681395973078,14,0.3242132257273773,47,0.3018717258638349,24,5108.867005294104,36
SC,32.40319123013798,50,0.11314875035530707,15,0.5651585463897849,9,0.12165017606955109,45,4165.383388149403,42
KY,60.57334623351063,28,0.11063970663373031,16,0.4190992115623465,29,0.3124213535036654,23,4181.316064552413,41
OR,90.70486333744213,19,0.09516560394760556,31,0.41606949328732884,32,0.6265507840738778,3,3656.187112094146,46
SD,34.006556960954356,49,0.10272033006273282,22,0.44347678629828363,24,0.18447910122998212,34,4046.580565562847,43
DE,98.31184652652965,13,0.09269583272865292,34,0.5564755046004143,10,0.32723774049364407,19,5824.199003929553,31
DC,278.5393802785592,1,0.08646580286404998,35,0.7946180457097488,3,0.4456775585134433,7,9096.263587270803,16
HI,182.88659563314556,3,0.09757667224118162,26,0.9173440161015637,1,0.24510293314755807,30,8335.95059597579,21
TX,34.71286028905837,46,0.13987136192019503,2,0.30710562080366743,49,0.09699880855839327,48,8331.19753323363,23
LA,54.90951852665651,34,0.12644737925909533,5,0.37766709916523633,40,0.10253167270481336,47,11214.25966682728,10
TN,53.85809450850189,36,0.10549542263066086,20,0.6582169680987503,5,0.33470894453894445,17,2317.293138616381,52
PA,71.74616033058153,24,0.07761131174471214,42,0.4966392975416819,20,0.35805295418203953,12,5198.586776186391,34
VA,34.50593725447527,48,0.07088850061804228,46,0.384121420234088,38,0.3476081293850729,14,3645.5208559994735,47
AK,102.21110359489757,12,0.09517894904386184,30,0.9101517006599575,2,0.16480971210086975,38,7159.13557323399,27
AL,35.51731704086419,44,0.10859918906058591,17,0.4264256040645812,27,0.2427713772657333,31,3159.1686733450265,50
AR,60.32628137928938,29,0.12435931899331971,7,0.331757978878581,46,0.1451086875259444,42,10076.586322980236,12
VT,109.88764710630397,11,0.06301396400032287,51,0.5067761438745709,17,0.40335957722990334,9,8531.070642922692,20
IL,92.97193453146227,16,0.10587885968968956,19,0.29599548687018745,50,0.21949633594133494,33,13515.441844676674,4
IN,34.91586776532419,45,0.10837914301320846,18,0.39803660729682455,35,0.1715318198863212,36,4718.559288246775,38
IA,63.56404592815648,25,0.08283723285188936,39,0.3556923646072928,41,0.48026651952522464,6,4491.889820780655,39
AZ,50.23970494447244,39,0.12552778505325987,6,0.35181530473269956,42,0.13951543405207473,43,8153.99107086794,24
ID,21.74836070149592,52,0.14234802600804267,1,0.29331367961738364,51,0.044108642646287576,51,11809.161626838142,8
ME,87.60526901166608,21,0.07602838132877883,43,0.4875253000941865,21,0.9153089356134563,1,2582.198489934567,51
MD,94.32285345876403,14,0.06969629842790667,47,0.49893560140995685,19,0.2922351293525896,26,9281.759310092073,13
MA,157.82651624359733,5,0.0641587944650549,50,0.5687291217640228,7,0.4108001137787695,8,10529.015213534665,11
UT,34.55710384873565,47,0.11913666238866105,10,0.23120299620961435,52,0.17545919310667715,35,7150.268053809211,28
MO,62.31809598702546,26,0.09636329522304896,27,0.4659014695296452,23,0.34673411585876546,15,4003.242309633733,44
MN,83.55203482005882,22,0.07331600030572,44,0.35017365895253494,43,0.35683493971647795,13,9120.264227264424,15
MI,154.98526103914824,6,0.09562613190937339,29,0.5263813905248412,14,0.2613852310612095,28,11779.645966618551,9
US,93.94059082267978,15,0.10261440715635096,23,0.4351434624826339,25,0.31406346160993165,22,6698.770059568932,29
MT,45.934470649308345,40,0.10289486273831215,21,0.5109806404384343,16,0.15737928627092065,40,5551.278374835152,33
MS,27.523226438810934,51,0.1342920963397221,3,0.40179082675271727,34,0.1536076407032656,41,3320.7490254223458,49
