state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,555.0949121452368,22,0.7702718476869927,34,0.9712052514615369,6,11002.337664414976,49,3.0628502690941382e-06,26,4964.117299524888,12,17055.07902094548,20
WI,640.7585797311668,13,0.7835395207731575,18,0.8992555414167229,18,14648.161529912099,25,4.025775682042019e-06,17,2282.5931477537215,28,13138.590465473237,27
WV,643.2433797533067,12,0.8047225871930003,5,0.8161026417559848,47,15770.371135075811,13,4.146948873861409e-06,14,2805.3218209081215,25,12171.296257855582,30
FL,345.2797387293798,47,0.7912624461664343,12,0.8905935767394872,29,14030.829860625874,32,1.4122525638521962e-06,46,3210.2073845208324,21,21517.010254018216,12
WY,1298.408904250875,3,0.7770279757251345,27,0.9304826195394658,13,22227.268179587638,1,6.389060960005292e-06,8,2104.529704019603,32,10541.18685272822,33
NH,446.94567837511175,35,0.8051021080044835,4,0.9935287310616209,4,12199.557896180793,43,2.5723771404652305e-06,35,4666.140225013555,14,13138.967842909296,26
NJ,302.9309382604777,52,0.7704152771518702,33,0.8792461063618148,32,12345.246641900347,41,1.150470714351074e-06,50,9880.103245046577,2,21607.017607219117,11
NM,490.33529598569316,27,0.7674846996585426,37,0.8938898452022447,25,17873.66705681236,5,5.588942117096452e-06,11,1181.4465341449106,47,5973.3312670119785,47
NC,399.95235213626006,41,0.7788061177772551,23,0.8783605198300356,34,15739.512213364911,14,2.141751053148142e-06,40,2864.024403212377,24,14479.838652044178,22
ND,1806.7236345757833,1,0.8004973600017101,7,0.8881065597556047,30,20209.01929589204,3,1.745743749238402e-05,2,623.3589799244827,51,6580.098710654794,46
NE,635.0779843782252,14,0.7638652278350643,42,0.9520553260963127,8,14285.402603838183,28,9.895995891401598e-06,4,1157.6419097043631,48,5019.621759764439,50
NY,353.23745288706056,46,0.7939100246134826,9,0.7219972883738305,52,11408.710970748734,46,1.892237829076641e-06,42,8801.69403001684,4,19744.459282230346,14
RI,399.1936517526935,42,0.7921230205664441,11,0.8925149133264093,28,10490.359225041822,50,1.7494637358450068e-06,43,6495.344029850691,10,24271.305545290797,9
NV,606.3900030668779,16,0.7604942573165,46,0.8164185614990923,46,14093.21227495366,31,3.409952196465429e-06,23,1999.0694863144313,33,18323.79587012633,17
CO,433.70401538298853,37,0.7748442757481208,29,0.9420304337861064,10,12341.45187374392,42,3.937428024969467e-06,19,2399.0350405463155,27,9828.39532862225,37
CA,423.22500899829174,40,0.7711305900409796,31,0.8220952450130614,44,13521.62161114232,36,1.2089339275363187e-06,49,8563.322800432465,5,32277.07003532225,4
GA,308.81601774372416,51,0.7490492993245287,50,0.8731667792759448,37,16568.62598897999,8,2.4709326761759413e-06,37,1780.8884623777906,38,9752.17827139811,38
