state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,-85.74668740234836,50,,,,,,,0.00119135916593258,2,89467.01947419668,6,-161440.85394352482,34
WI,-11.834292653410861,30,,,,,,,9.834253526007845e-05,37,72101.28596802842,21,-192438.76376554172,40
WV,-2.251236725703047,17,,,,,,,9.696640598864524e-06,48,52439.333333333336,48,-284606.0,45
FL,-19.796534243900766,39,,,,,,,0.000224590146232623,18,67459.69634230503,28,-155604.8557625949,32
WY,-11.104312238144683,29,,,,,,,0.00013000677768667672,31,65070.88,32,-150484.21333333332,30
NH,-1.0058298777640455,16,,,,,,,3.027328450757097e-06,49,52131.0,49,-384381.0,51
NJ,-0.3705497972059486,14,,,,,,,2.106804867057233e-05,43,77113.60427807487,18,-94701.83957219252,17
NM,-13.984017991033266,31,,,,,,,0.0001117723643069106,34,61020.257510729614,38,-186131.84549356223,37
NC,-48.17350026635739,47,,,,,,,0.00014874569932585372,27,57688.526896551724,44,-381553.3544827586,50
ND,-2.5651805245794175,20,,,,,,,0.00016816183438909512,25,77922.10169491525,17,-93176.33898305085,16
NE,-85.46705420194267,49,,,,,,,0.0037063045981998257,1,79054.56216373418,15,-102114.47317144103,19
NY,-30.252959687134382,45,,,,,,,0.0001128670474123202,33,88977.00135562585,8,-357017.67736104835,49
RI,0.1519992172040314,10,,,,,,,1.7099911935453533e-05,44,61908.666666666664,37,-53019.777777777774,11
NV,-4.5299056889677685,23,,,,,,,4.1738574972461616e-05,42,78853.35652173913,16,-187383.7913043478,38
CO,-2.865145176665333,21,,,,,,,0.0002956637207516831,12,89171.54657980456,7,-98862.1003257329,18
CA,-4.677456349746393,24,,,,,,,0.000321784168155873,10,105133.16786414108,3,-119669.173089484,24
GA,13.7612662566791,2,,,,,,,0.00010021171489061397,36,45965.96378269618,51,91355.96780684104,4
CT,5.851664356567313,5,,,,,,,9.069759807164665e-05,38,81297.27607361964,11,-16778.871165644174,8
OK,-22.078254488599732,40,,,,,,,0.000260933876054837,14,57724.75903614458,43,-142337.20883534136,29
OH,-5.851318438275941,25,,,,,,,0.0001171337196985759,32,63560.203991130824,34,-113514.37989652624,22
KS,-26.486105518914638,43,,,,,,,0.0003749177918242973,8,63802.46950092421,33,-134447.57116451015,27
SC,-108.06901337202372,51,,,,,,,0.0004431861036488001,7,68200.46058289536,27,-312046.13282369805,46
KY,-10.939291177185172,28,,,,,,,0.00017839768311141984,23,63229.657289002556,35,-124549.35038363171,25
OR,-18.292839327321733,37,,,,,,,0.00017852177811794956,22,94040.62068965517,4,-196509.0114942529,41
SD,-17.71711100246374,36,,,,,,,0.0001881357069588642,20,60089.04458598726,40,-154261.01910828025,31
DE,-34.64789869132417,46,,,,,,,0.00013851306767181346,29,65541.07086614173,30,-315682.80314960633,47
DC,0.0,11,,,,,,,0.0,51,Missing Data,99,Missing Data,99
HI,0.0,12,,,,,,,0.0,52,Missing Data,99,Missing Data,99
TX,-29.942107320867272,44,,,,,,,0.000312327285885083,11,70108.97226993865,24,-165976.70036809816,35
LA,-19.72791538465548,38,,,,,,,0.00013464375001085837,30,52696.27741935484,47,-199215.63225806452,43
TN,-3.2381761181761552,22,,,,,,,0.0009146147348089758,3,62168.77032520325,36,-65709.25135501355,13
PA,-2.55848786100407,19,,,,,,,9.788533993190156e-06,47,69021.504,25,-330397.504,48
VA,-2.517507336983253,18,,,,,,,4.41817838749182e-05,41,54882.49723756906,45,-111863.16022099447,21
AK,292.3793560494665,1,,,,,,,0.0006688725325921478,5,85674.01226993866,10,351448.6707566462,3
AL,-15.642812721329225,34,,,,,,,0.0002326940784857822,16,59859.87511150758,42,-127084.67439785905,26
AR,-15.527074221001593,32,,,,,,,0.0001488488793951107,26,53765.00227790433,46,-158079.35307517083,33
VT,-15.641919193532416,33,,,,,,,0.00034177769117989964,9,72897.14018691589,20,-118663.4953271028,23
IL,6.920121179798012,4,,,,,,,8.956200296680931e-05,39,80801.01647875109,12,-3534.754553339124,7
IN,5.570365539082041,6,,,,,,,0.0005088998585420531,6,86529.42831379622,9,-75583.53110910731,15
IA,-0.7880530635400292,15,,,,,,,0.000264309876509094,13,60389.77121771218,39,-63371.32103321033,12
AZ,-61.320247776315554,48,,,,,,,0.0007740721963028787,4,91534.00669950739,5,-170751.74384236452,36
ID,-7.418572440288545,26,,,,,,,6.141928690954444e-05,40,70850.44897959183,22,-191636.16326530612,39
ME,-0.258920722087744,13,,,,,,,1.5806206871635535e-05,45,51243.42857142857,50,-67624.38095238095,14
MD,1.6713004931074766,8,,,,,,,1.3578149634264053e-05,46,59873.7,41,63213.8,5
MA,-23.513224273039466,42,,,,,,,0.00018074382620106375,21,77099.44139650873,19,-207190.87946799668,44
UT,-108.18179079950434,52,,,,,,,0.00019508306615942736,19,65204.05745062837,31,-619746.2477558348,52
MO,7.960956509746184,3,,,,,,,0.00022671141810647502,17,68604.24597364568,26,-33489.31185944363,10
MN,-23.208499400161507,41,,,,,,,0.00017804656159193697,24,66966.28810020877,29,-197317.01878914406,42
MI,4.115518593684574,7,,,,,,,0.00010126678577906785,35,70810.8011988012,23,-30170.441558441562,9
US,-15.713575560122205,35,,,,,,,0.00025578768098181824,15,79215.01038010605,14,-140647.1149279367,28
MT,0.31338200868913796,9,,,,,,,2.984590558944171e-06,50,79712.0,13,25288.0,6
MS,-9.28457066772221,27,,,,,,,0.00014868708301059194,28,43773.2972972973,52,-106216.99099099099,20
