state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,-158.93522883564796,50,,,,,,,0.0005304274378020177,6,71002.661563696,4,-370638.7993439038,50
WI,-19.063953740230378,7,,,,,,,0.0003540680621175471,34,54816.40256536754,18,-108659.02713369511,7
WV,-40.609530828044626,24,,,,,,,0.0005580955366902026,2,34374.023166023166,52,-107138.50193050192,6
FL,-38.80284183258326,22,,,,,,,0.00046788322159710925,12,52939.54240282685,21,-135872.29151943463,17
WY,-29.7195493791743,13,,,,,,,0.0003137496901505132,42,50688.46408839779,26,-145412.22099447515,23
NH,-18.55146874623949,6,,,,,,,0.00028078471380772074,49,52143.23450134771,24,-118213.31536388141,10
NJ,-64.17721856692204,43,,,,,,,0.00048388913925191527,9,66668.1220023283,7,-199296.05960419093,40
NM,-31.796599241866762,16,,,,,,,0.0003357968026387872,37,44725.2,41,-139415.2,19
NC,-43.30284798774253,25,,,,,,,0.0003927912294611682,27,43586.78924001045,45,-153830.71715852703,24
ND,-10.195167484911751,2,,,,,,,0.00025936825304080776,51,45419.01098901099,38,-84726.70329670329,4
NE,-37.302336259968406,19,,,,,,,0.00032067053016270123,39,49295.65714285714,31,-165621.7075630252,29
NY,-61.46240359379287,42,,,,,,,0.0003259526886634155,38,61893.54404631513,11,-250455.88984509467,46
RI,-74.53471614621185,47,,,,,,,0.00041229787666593516,22,55685.032258064515,16,-236463.8341013825,44
NV,-68.42403924151935,45,,,,,,,0.0003143096167491457,41,72656.10623556582,3,-290352.4018475751,48
CO,-45.203803217784355,29,,,,,,,0.0004682465831578773,11,62198.30522418758,10,-158736.76347182228,28
CA,-46.54525980498534,30,,,,,,,0.00030964632641126055,44,79028.56168335312,1,-229346.05565925673,42
GA,-37.49843814900696,21,,,,,,,0.0003663675773767517,31,41179.41001651073,49,-143531.36598789212,20
CT,-14.552791288134028,4,,,,,,,0.0002832213338556328,48,69297.38310412574,6,-120680.48722986248,11
OK,-37.39580656206781,20,,,,,,,0.0003188318545770448,40,37147.75020542317,50,-154437.80772391125,25
OH,-69.06811650450472,46,,,,,,,0.0005338977452927699,5,54303.237879033564,20,-183669.05205124046,34
KS,-51.31245482448511,36,,,,,,,0.00040748920811956897,23,44557.12244897959,42,-170480.5918367347,30
SC,-44.37281755194838,28,,,,,,,0.00043937466080805554,15,42892.458795180726,46,-143883.3021686747,21
KY,-51.41685858105403,37,,,,,,,0.00042089990452758263,21,48444.78048780488,33,-170604.1300813008,31
OR,-110.21077676467239,48,,,,,,,0.0004560513239852217,13,61830.735658042744,12,-303493.83577052865,49
SD,-47.939854092970194,32,,,,,,,0.00029718251799871543,47,49428.145161290326,29,-210742.6612903226,41
DE,-30.885142128585933,15,,,,,,,0.00047770648535633303,10,52532.02739726027,22,-117184.99543378995,9
DC,-190.8462459057697,52,,,,,,,0.0010692239858906525,1,76591.9528718704,2,-255082.37997054492,47
HI,-183.70566771446173,51,,,,,,,0.0005133669259588474,7,54675.65874125874,19,-412520.4251748252,51
TX,-56.38254857685677,40,,,,,,,0.0002987611681914242,46,44215.68855823499,43,-232936.82965623395,43
LA,-16.345099749302022,5,,,,,,,0.0004256479839052942,20,41451.75306122449,48,-79852.26326530613,2
TN,-55.836114176265035,39,,,,,,,0.0003634292289738918,32,42612.39386189258,47,-196249.22250639385,38
PA,-52.01924535414642,38,,,,,,,0.000502974030706083,8,54960.80336291453,17,-158384.12579791376,26
VA,-47.92149019054554,31,,,,,,,0.0005444611543259947,3,48060.84734364492,35,-136077.20959426137,18
AK,-27.59201784754357,10,,,,,,,0.0004363401592983541,17,65699.28526645768,8,-128934.39498432602,14
AL,-44.07051315582989,26,,,,,,,0.0003043082239608891,45,45001.800818553886,40,-189823.75989085948,37
AR,-32.12287661478995,17,,,,,,,0.00043196690740175637,18,48335.42543171115,34,-122699.63265306123,12
VT,-10.430607949046376,3,,,,,,,0.00034018059916504027,36,46040.33802816901,37,-76702.30985915492,1
IL,-4.764496596682726,1,,,,,,,0.00039685366275579254,25,69999.83088667058,5,-82005.50714425523,3
IN,-65.1859853843104,44,,,,,,,0.0004509277977102413,14,43915.0013568521,44,-188474.697421981,36
IA,-58.63192817793614,41,,,,,,,0.00039500184496746516,26,49311.23950617284,30,-197745.8074074074,39
AZ,-49.688417561539886,34,,,,,,,0.0002646335488838413,50,52216.530259365994,23,-239979.63804034583,45
ID,-49.578525811768685,33,,,,,,,0.000437455737376143,16,45119.67335243553,39,-158453.48424068769,27
ME,-28.68525476594771,12,,,,,,,0.00042601490901646253,19,48560.03533568905,32,-115893.95759717314,8
MD,-19.914393161093372,8,,,,,,,0.0005443140734635603,4,57912.66978484565,14,-94498.88743373871,5
MA,-136.71489697226295,49,,,,,,,0.00036975108585271646,30,64596.14628199919,9,-434344.612759041,52
