state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank
WA,136.05359193345274,27,0.09324299163960582,22,0.280614043656057,36,0.6970486708020409,9
WI,117.44703691982834,34,0.09498954433955767,20,0.2776332006707586,38,0.6080527356618861,30
WV,266.70196881776417,2,0.09913503526976845,13,0.6246084309711145,3,0.6206897721197151,29
FL,158.42888103806774,18,0.10727013970733415,2,0.3058664878398688,33,0.6477144908867217,19
WY,64.90318858837142,51,0.08641141244395513,36,0.25450815841826757,45,0.44463351571622933,50
NH,86.88284296501536,47,0.09865509841483461,14,0.201572206970387,51,0.6283974386465646,26
NJ,121.4926579038383,31,0.10723457314056357,3,0.23339417321175038,49,0.6695952878829,13
NM,174.94675846593512,14,0.08847792861740408,29,0.3636582837975452,21,0.7866791747645433,2
NC,136.80758806513046,26,0.08288092501110679,40,0.431874386577538,14,0.5247995261436718,42
ND,65.9217682201077,50,0.08040563470800038,43,0.24926695561187545,46,0.5223300177104103,44
NE,83.70303368094757,48,0.09190604291552978,24,0.18301891120350722,52,0.7183062541706858,6
NY,237.04046918552078,6,0.08726597690954635,34,0.5310514029907649,7,0.6602241235270154,14
RI,189.4815803527942,10,0.1036688855631508,6,0.3899527253164538,17,0.65188802050284,17
NV,100.00330935327402,44,0.08582453724121732,37,0.2847432857741321,35,0.5332646145574207,40
CO,81.56110720242226,49,0.07972384432813506,44,0.31127747669370043,32,0.47057137792349385,47
CA,240.24007606973862,5,0.07725261703190149,46,0.5246168518418954,8,0.7464579953660819,3
GA,149.55555897703078,22,0.07330646019079225,49,0.4267698627871847,15,0.6409699199971656,21
CT,104.31262786997044,41,0.1028545220463512,8,0.3343922423443168,26,0.4218219009736729,52
OK,152.60046534801356,20,0.09599345443036751,17,0.36140784089560724,22,0.5998152041509922,32
OH,167.58713475700355,16,0.0950554276765542,19,0.3770414118713505,20,0.5975290037826119,34
KS,101.2847319088194,43,0.103382320548753,7,0.20437992741557037,50,0.6312653293779791,25
SC,145.5486125500132,23,0.08766349069584715,33,0.502025849834976,9,0.4547315752552558,48
KY,262.3844800997072,3,0.0764878998325164,47,0.5824045955469905,4,0.8251114700551371,1
OR,123.64136724612412,29,0.10224227353184272,11,0.25938035511933316,43,0.6565921943808379,15
SD,97.6136652652683,45,0.08501940052456651,39,0.26376119587873664,42,0.6379143725763207,22
DE,107.51618106443989,36,0.11046813673894852,1,0.2562685686438551,44,0.48325827794600057,46
DC,278.67042297148515,1,0.073743726771214,48,0.6392537454064701,2,0.7193903268428877,4
HI,120.3472056201596,33,0.10239818986718273,9,0.31842930988515766,28,0.5227341040110373,43
TX,139.8215990037568,24,0.06658410592077575,52,0.46003705030472375,12,0.6247666362423002,28
LA,234.38751045417015,7,0.08077371196321699,42,0.5474763507453287,6,0.7029389413529114,7
TN,170.18443364609683,15,0.08790370559402098,32,0.44845952798993316,13,0.6036243856497421,31
PA,185.45097363497817,11,0.0922573149043048,23,0.3887337605801218,18,0.6523206283850292,16
VA,110.58497895151656,35,0.09540474154936081,18,0.2732021240635334,40,0.5984308781236559,33
AK,104.47249315427523,40,0.0697436082093098,50,0.460479970513734,11,0.5114928794626047,45
AL,216.13921216939687,9,0.08545256072814887,38,0.49686741412138535,10,0.7007044752643156,8
AR,221.49062889453808,8,0.09100738776467616,25,0.5638736783855839,5,0.5343699740469319,39
VT,150.36918467779807,21,0.10224496335642004,10,0.3153353888157648,29,0.6849410792315317,12
IL,134.7437599272545,28,0.09029095260907519,28,0.3121987937372765,30,0.635039483231882,24
IN,120.56808954395851,32,0.0907718147735103,26,0.31136389506407836,31,0.5311811929963958,41
IA,92.63999015639946,46,0.0823365812505754,41,0.29013340494097084,34,0.5569256852522187,36
AZ,104.87076846021785,39,0.08658697748948152,35,0.36033371337267306,23,0.44191864865517927,51
ID,106.12770225112328,37,0.09071484339815025,27,0.24784892505619144,47,0.6493900216238565,18
ME,158.30726229643855,19,0.10040155998833977,12,0.34091546922619176,25,0.718591397246904,5
MD,121.91776575860847,30,0.09699300087392859,16,0.2354970337014821,48,0.6931216974803261,10
MA,184.79673194715272,12,0.09441601053076827,21,0.4222072068914021,16,0.6264938890734412,27
UT,62.44476060089173,52,0.06734238572828898,51,0.27929173504491017,37,0.44736196447623894,49
MO,138.95500513267388,25,0.09857239242490766,15,0.35401848962148147,24,0.5428635807599523,38
MN,103.81806350675497,42,0.08842319543807481,30,0.2754578481421875,39,0.5845612995790067,35
MI,175.04911063918817,13,0.10370191329399771,5,0.326359618845506,27,0.6860255724243053,11
US,163.87757047387817,17,0.08814755188250505,31,0.38696643884422055,19,0.6378766435073584,23
MT,105.80642255216706,38,0.10599777747370283,4,0.2664578006418431,41,0.5488221175334765,37
MS,248.60986405539202,4,0.0787486889849812,45,0.6746082650384876,1,0.6448834059149737,20
