state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank
WA,1030.2387212964338,35,0.6024180179111186,20,0.35372282054233256,26,0.6880670861631323,40
WI,1244.9146369921004,25,0.6262069033328759,12,0.3108328584222111,31,0.9212065698788682,7
WV,1524.6243314933918,13,0.5305043474116375,40,0.5279943637879954,3,0.6281986520405135,45
FL,919.3542013917449,46,0.5507032748006532,34,0.31546621742342823,29,0.8562459637827504,15
WY,989.7369790630677,40,0.6162197397858608,14,0.18578879391553454,52,1.0532619573332487,1
NH,955.8947883062173,42,0.7320688690239099,1,0.21915521460597465,49,0.6174043403085441,47
NJ,1064.6454440269265,33,0.6726437614236449,5,0.24789355984661604,45,0.7545736720720571,32
NM,1621.5630958277723,9,0.49132702633040526,51,0.4341236506493949,12,1.0221960049504377,5
NC,1089.0071830818283,32,0.5437379787896442,37,0.40959612701452847,17,0.7000522914876929,38
ND,1089.809927635148,31,0.6565401391168864,7,0.22441325299058018,48,0.633983067532979,44
NE,881.2886020313787,47,0.6173053516111954,13,0.28445994040887496,39,0.6800029000948835,41
NY,2681.2834789206076,2,0.5843439235411967,23,0.5561297854378756,2,0.679209348987629,42
RI,1880.3009038191262,5,0.6157666245101138,15,0.43142853016792126,13,0.5931945241472403,48
NV,543.7068028524479,52,0.5448509806056036,36,0.27703315688752117,43,0.6274948044352079,46
CO,839.7385538623821,49,0.6498037081120764,9,0.19055457793419098,50,0.8080611373169398,23
CA,1392.7403289826423,16,0.5363713582595644,39,0.45434843054484303,10,0.7869720514088313,27
GA,789.487779628697,50,0.5279521066256049,42,0.3668272749945507,21,0.7915849946445732,25
CT,1673.1320345093718,8,0.703309724159111,2,0.28984169702804835,37,0.7531401939227107,34
OK,1137.2606209013074,28,0.5493160770651079,35,0.3411732685495042,28,0.9186382724831906,8
OH,1359.2037879697564,17,0.5652412666746874,31,0.28365152497675794,40,1.0420852964774014,2
KS,940.7329859752818,43,0.5637078861743384,32,0.34506178137458093,27,0.5911240048277618,49
SC,1014.5963473564385,38,0.5028788856121549,48,0.39367973043840016,19,0.8223374831696171,21
KY,1307.315869034381,19,0.5060009846276877,46,0.4199009200583082,15,0.7920511047305578,24
OR,1129.2362834415346,29,0.5758960462521049,27,0.2596187420382512,44,0.8330211080638237,19
SD,928.8272034425349,44,0.5711144130889607,29,0.23001331439086456,47,0.9907408278678498,6
DE,1617.7461276959089,10,0.6089719202198343,17,0.2865293480155173,38,1.0406900539707016,3
DC,3377.631291833212,1,0.5855280229098262,22,0.5635379513175633,1,0.7886650110348028,26
HI,1189.896914116921,27,0.6074270244680602,18,0.4142986023868487,16,0.7471680904007371,36
TX,1064.5626494541516,34,0.5165362989002593,43,0.36391540638526965,24,0.7849209168023543,29
LA,1400.5975896707077,15,0.5034695129086554,47,0.5182573659719111,4,0.8409634131803801,17
TN,1258.1936475138457,23,0.5084354749260079,45,0.4469149310536091,11,0.8499113760820504,16
PA,1571.2037904278827,12,0.6059445945641878,19,0.29703625760424285,35,0.8873684786793299,10
VA,847.5140152860545,48,0.6559406982989382,8,0.1901742565190781,51,0.8678786336099373,11
AK,1867.9927742085968,6,0.6353254020670319,11,0.3007490415897908,34,0.8197699951617106,22
AL,925.5519303948805,45,0.5370073252508496,38,0.2805044202275063,42,1.023847645203317,4
AR,1305.5348262468497,20,0.48778597272532875,52,0.47989135172795183,5,0.7532321669982467,33
VT,2031.885906813699,3,0.6389577422644105,10,0.46064514044603533,8,0.7265601000570501,37
IL,1023.6374992112831,36,0.5749528627791837,28,0.39182310323170827,20,0.8567084193431537,14
IN,1018.4721622334498,37,0.5575486123424965,33,0.29225179593007555,36,0.9098923996122369,9
IA,1096.0007752080203,30,0.6117864684920236,16,0.31112040455538575,30,0.7620233465762619,30
AZ,1338.6940088191413,18,0.5303094499478304,41,0.4735415846692758,6,0.6904712298400534,39
ID,998.2127501382395,39,0.49967701772588474,49,0.3086451415491996,32,0.7563587013258168,31
ME,1709.318034693136,7,0.5938328974790551,21,0.46642965991366186,7,0.747267740697061,35
MD,1282.6137135012536,22,0.6886831320447897,3,0.2337956093655879,46,0.822470734390778,20
MA,2002.0130638847177,4,0.6763473572152174,4,0.3652238087622316,22,0.6449039326604306,43
UT,636.0550110382709,51,0.5795974920246165,25,0.30413822493577464,33,0.5231383556245426,50
MO,1255.2417149315042,24,0.5831466691866212,24,0.2815037670248919,41,0.8651644935936234,12
MN,1582.7801227931502,11,0.6613709260024007,6,0.4031339243564363,18,0.4777585475718363,51
MI,1221.6207413374589,26,0.5791921595562798,26,0.3541559008050482,25,0.8635349332286607,13
US,1293.2552808471657,21,0.5704192296101225,30,0.36423538983502546,23,0.7850245359551772,28
MT,969.7438390551093,41,0.5119858654065789,44,0.4290089412843861,14,0.46319667669921427,52
MS,1422.4309428695476,14,0.49186194800154703,50,0.4594297652798621,9,0.8398128160615895,18
