state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,-16.07638851127231,50,,,,,,,0.00030610506320395285,29,59793.60113690194,5,-112312.7863571767,52
WI,25.65796780653176,13,,,,,,,0.00027249441386451576,34,47593.4,14,46566.21025641026,11
WV,9.33247787415161,30,,,,,,,0.0004352714224379186,17,28859.58415841584,50,-7418.990099009901,31
FL,3.265521093313305,34,,,,,,,0.00035938556641226723,22,42946.098907418054,24,-33859.698677400804,35
WY,-7.599329511711877,43,,,,,,,0.0006968363284005873,4,41718.92537313433,25,-52624.39800995025,41
NH,59.69891704892995,3,,,,,,,0.00038371388113346203,19,39372.82840236687,29,116209.02564102563,3
NJ,51.37280216313655,4,,,,,,,0.0005796529968454259,7,54634.30670553936,10,33992.513896987366,14
NM,-4.868094218826304,41,,,,,,,0.0006097110516484265,5,38975.905586152636,30,-46960.169944925256,38
NC,20.69975844724262,15,,,,,,,0.0005984706274945039,6,29023.60027425437,49,5564.159753171065,25
ND,-19.53669989525513,52,,,,,,,0.0004261049871384699,18,41063.59866220736,26,-86913.09698996655,48
NE,13.264981107385823,23,,,,,,,0.00020803163805513053,42,40811.37823834197,27,22952.87046632125,17
NY,93.58733440981193,2,,,,,,,0.000710557480591254,3,71240.9112833764,1,60468.819408555835,7
RI,45.03641806244698,6,,,,,,,0.0001994989725802912,44,55311.02857142857,9,170436.5904761905,2
NV,1.8190759805389358,35,,,,,,,3.3027915847773976e-05,52,56013.0989010989,8,-936.1758241758216,30
CO,-2.475485432638848,37,,,,,,,0.00013117068002077928,48,51001.81497797357,12,-69874.06167400882,43
CA,30.268282453357322,10,,,,,,,0.0002588618067308799,36,64314.90551101187,2,52613.4387496194,10
GA,-5.8573444903720135,42,,,,,,,0.0004931948785159794,11,32166.860997547017,45,-44043.18969746525,37
CT,29.28057886211795,12,,,,,,,0.000331908694783664,26,60943.99664710813,4,27274.779547359605,15
OK,-12.439943946373372,46,,,,,,,0.0003217136544129918,27,34743.53745928339,42,-73411.28990228014,45
OH,10.320926480107483,28,,,,,,,0.00021972311943457918,41,43170.274231678486,22,3802.144996059891,26
KS,-4.344819031132037,38,,,,,,,0.00036036460582002696,21,35252.56153846154,37,-47309.2923076923,39
SC,20.1269591610252,16,,,,,,,0.0005795510586176617,8,28708.156375593717,51,6020.378516624041,24
KY,15.672761160406209,22,,,,,,,0.0003209789515828232,28,34015.08742004264,43,14812.915422885577,18
OR,1.4040635250253675,36,,,,,,,0.00012747891339744385,49,46984.97384305835,15,-35970.8893360161,36
SD,-13.65721434528774,48,,,,,,,0.00029358756818421484,32,35030.69387755102,39,-81549.0612244898,46
DE,-16.15476817602284,51,,,,,,,0.00026393828642975477,35,45564.0,20,-106770.61157024794,51
DC,136.44967246157722,1,,,,,,,0.0020093222474174854,1,54208.608150470216,11,13699.699059561128,19
HI,49.58047511211503,5,,,,,,,0.00044084936019403117,16,56434.905537459286,7,56030.892508143326,9
TX,-4.853221121356894,40,,,,,,,0.0002447266316149865,39,35976.231130598186,34,-55807.424365800194,42
LA,29.543229330447033,11,,,,,,,0.00024800510082645204,37,32043.98248686515,46,87079.49211908932,5
TN,18.129634555334423,20,,,,,,,0.000558156654728445,9,30732.183180682765,48,1749.0824313072444,27
PA,10.446949943708098,27,,,,,,,0.00024714090626006506,38,43072.4752851711,23,-801.2458808618467,28
VA,19.346007077384762,17,,,,,,,0.0004656174184608092,12,35500.10484927916,36,6049.043250327653,23
AK,-13.564844387967954,47,,,,,,,0.0004459150217280985,14,56812.601226993866,6,-87232.84662576688,49
AL,7.674545468132328,32,,,,,,,0.000736691600843926,2,31293.274725274725,47,-20875.692307692305,34
AR,11.195537924253212,25,,,,,,,0.0005258874987285119,10,33577.22243713733,44,-12288.376531270147,33
VT,22.69627462316614,14,,,,,,,0.00030504457483813475,30,37459.53926701571,32,36943.60209424083,13
IL,17.395146391929075,21,,,,,,,0.00012304094770115,51,62230.280303030304,3,79146.60858585857,6
IN,12.271721626423757,24,,,,,,,0.00020068428446263112,43,34784.41463414634,41,26364.975609756097,16
IA,-7.6464554680121655,44,,,,,,,0.00029064333284025833,33,45706.08053691275,18,-72014.80536912751,44
AZ,-15.510118915792537,49,,,,,,,0.00034501503606642594,24,46113.89920424403,17,-91068.80636604773,50
ID,-4.587017968275058,39,,,,,,,0.0002995757055383902,31,35010.92887029289,40,-50322.644351464434,40
ME,34.31376976528536,9,,,,,,,0.0004448318219588858,15,36549.72588832487,33,40589.021996615906,12
MD,34.78059865722284,8,,,,,,,0.00034607308880330506,23,44303.12309955861,21,56197.60863168219,8
MA,36.808787004594016,7,,,,,,,0.00016496818052266668,46,45613.08196721312,19,177513.50455373403,1
UT,-10.063764493761195,45,,,,,,,0.00022765528366899062,40,40619.00307692308,28,-84825.15692307692,47
MO,6.046191040716607,33,,,,,,,0.00013957855243597767,47,35753.26516052319,35,7564.214030915573,20
MN,9.88084075890953,29,,,,,,,0.00017934752811713903,45,48983.1170984456,13,6110.147150259065,22
MI,19.18251987575648,18,,,,,,,0.00012635585957847725,50,38606.891913530824,31,113206.56525220175,4
US,18.238913156341603,19,,,,,,,0.0003413208453576242,25,46243.171928777294,16,7193.098971206848,21
MT,11.038010750495193,26,,,,,,,0.0004556474919988101,13,35133.03930131004,38,-10908.148471615717,32
MS,8.854583697934823,31,,,,,,,0.00037439675406721127,20,24463.137745974956,52,-812.8694096601103,29
