state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,912.844441641019,11,0.09631129623386368,41,0.5503121076071148,45,0.8522163309750105,13,0.1492309717268545,27,45545.78939442831,34,89880.08871679037,6
WI,886.4452698463272,13,0.09714722803310737,39,0.6647978898044976,20,0.7935910335053499,23,0.16171238105624777,14,48197.80964825391,24,58754.91618369197,29
WV,741.5931602052025,29,0.09816717331613796,34,0.8899736046403152,5,0.573545280215071,44,0.1486394960061064,28,44395.73412411399,39,55172.400115724005,33
FL,607.3930748633304,40,0.09302377126792995,48,0.6414493981946116,29,0.6967467264221437,34,0.11150090779962048,49,47713.606058579644,25,83313.19907717,8
WY,1202.3182947270984,1,0.10277469132057418,17,0.6377466689155001,31,0.9483497302443669,1,0.17535346774868235,7,40372.37754452926,51,69934.39853689566,16
NH,494.915968173696,51,0.09607453888111454,44,0.6513001898489873,27,0.5235854761847166,47,0.1555360484187669,18,48948.639536610724,22,48174.631516411704,41
NJ,603.7774826498422,41,0.08517057232987832,52,0.5819843010473905,40,0.8101917197958929,18,0.12892755347083512,45,58716.37857127315,2,57895.43107687621,31
NM,1114.2418869093933,3,0.09951194333285042,30,0.7540613761918994,7,0.9384237712882934,2,0.14230339528039676,34,48976.196084063384,21,62218.30590262817,21
NC,840.6283970311999,18,0.10018361374291265,28,0.5918761673056129,39,0.8056384519169387,20,0.18433959509023287,6,44989.90587577466,36,50469.273193234236,37
ND,1006.5440149350511,9,0.12875781133097242,2,0.6106142778085224,35,0.886893001504468,7,0.1961617854442151,4,41782.364034173785,43,31805.567618253808,50
NE,858.9691223921267,16,0.10033430576447046,26,0.7497381411513195,8,0.7462923956497443,28,0.15193057235566307,19,40480.54593706559,50,60227.53190951598,25
NY,764.8842713419704,26,0.10219139558344562,21,0.653789700057045,25,0.5513600908712002,45,0.10686249262745164,50,54239.23896144279,7,140065.18931384743,1
RI,583.4850874517996,44,0.11980863298554012,3,0.6656781508940253,19,0.5146274061368401,48,0.13137672437737247,41,49338.74031007752,17,58870.91296687809,27
NV,526.1466795148889,50,0.09162597155606851,50,0.468603932628777,51,0.8759002535925613,8,0.09070730271475308,52,53155.87083732312,8,101080.00617086924,4
CO,637.89031473066,36,0.09777782229319863,36,0.7149540810899191,11,0.7506688525493546,27,0.15044926663828162,24,50780.56820122472,13,30015.276732781967,52
CA,1049.5556164841348,7,0.10565436891367368,8,0.6518614078979008,26,0.8122008346493939,17,0.10546217461223999,51,61974.86824467256,1,115936.03837983478,3
GA,649.5877423127331,35,0.10188970662365157,23,0.5396143449127487,48,0.774150191250518,25,0.1431586327450502,33,46348.82776307081,30,60257.07587690272,24
CT,687.7006400579575,33,0.09222721584525988,49,0.6083234287989671,37,0.6196233226551885,40,0.14618413470772776,30,56958.839921165,3,78366.08332420891,10
OK,705.8523329086609,31,0.10385142068802185,12,0.5763369466230415,42,0.8540120106450032,11,0.14947901450968937,26,41464.1885822047,44,50916.40459454826,36
OH,599.6881815539757,42,0.09622548059237976,42,0.6386178565548439,30,0.7386935806079868,30,0.14204959396419867,35,46892.11299374345,28,46109.401680943054,43
KS,780.9894530982001,23,0.10404938935524535,11,0.7119483953470559,12,0.8605614960755148,10,0.1567813193025177,17,45949.84156150326,31,32191.50526972681,49
SC,864.4007130786061,15,0.10368458531819513,14,0.5301952567377972,50,0.8051206199902163,21,0.14403678064136483,32,44737.522503072374,38,90853.4350815425,5
