state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,-1.7715232388264763,29,,,,,,,0.0005743638822126278,23,68522.87503155769,4,-71607.1971724312,41
WI,-0.845606062511616,25,,,,,,,0.0003393952859863809,44,52066.21513124035,23,-54557.72310859496,27
WV,36.77019985314976,8,,,,,,,0.0007250932358928694,8,35545.80980683507,50,15165.185735512634,8
FL,-25.76571315999576,49,,,,,,,0.0005956004614146947,21,50833.21374045801,25,-94093.27619708536,47
WY,50.46516425056293,5,,,,,,,0.000599764601061202,20,47578.05780346821,29,36563.560693641615,7
NH,-1.9253808946815136,30,,,,,,,0.00031257166254067026,48,52084.823244552055,22,-58244.62953995157,31
NJ,-15.502591257323118,44,,,,,,,0.00024583145561063544,51,61450.37763519707,11,-124512.24747937672,50
NM,2.2023473155923887,22,,,,,,,0.0005252821412706743,30,42793.69863013698,44,-38601.004566210046,20
NC,13.666960020541268,13,,,,,,,0.000562771659656299,24,42215.67845424717,46,-17930.5891359825,12
ND,124.84876123157167,2,,,,,,,0.0006327445293962563,14,44488.86486486487,35,152824.19819819822,2
NE,-2.935078499606842,33,,,,,,,0.0006122381886803842,19,55290.26408450704,16,-60084.278169014084,33
NY,-35.39373921948841,51,,,,,,,0.0003208015039419314,47,64875.67440381558,7,-175204.7682034976,51
RI,-1.3223931896750731,26,,,,,,,0.000547197181934513,28,54802.6875,18,-57219.354166666664,29
NV,12.860925253471107,15,,,,,,,0.0007846852094822783,5,79384.08510638298,2,-62994.1683626272,34
CO,-12.004717521725505,41,,,,,,,0.0008683075264811645,1,65301.09316770186,6,-79126.51464063887,43
CA,31.761999517639016,9,,,,,,,0.0006256768423115706,16,84551.67045979424,1,-33787.44623136678,18
GA,-16.673959068454483,45,,,,,,,0.0006575259602782539,12,41289.714811407546,48,-66648.34713278136,38
CT,-6.4386948226138605,36,,,,,,,0.00025400891729881407,50,67535.421686747,5,-92883.72398685652,46
OK,-3.0667589890541382,34,,,,,,,0.000816859262589339,4,37619.76908274535,49,-41374.09878127004,22
OH,-2.8287836593872635,32,,,,,,,0.0006494731449953558,13,54405.06638229806,19,-58760.57158091176,32
KS,-18.551847111157926,47,,,,,,,0.000747756557076556,7,45887.77757182576,31,-70697.78683966635,40
SC,-19.328885379538185,48,,,,,,,0.0006134305505353912,18,43692.73317224715,40,-75202.22575077666,42
KY,58.11840632923954,4,,,,,,,0.0006656834262392878,11,43088.38519533927,42,44217.98903358464,4
OR,12.24874855207552,16,,,,,,,0.000547620684312963,27,60616.49086651054,12,-38249.27775175644,19
SD,14.830366301419765,12,,,,,,,0.0004086259622482337,40,45844.01173020528,32,-9550.75659824047,11
DE,-4.136850910859752,35,,,,,,,0.0002006803500127061,52,43136.15217391304,41,-63750.28260869565,35
DC,191.8745275888133,1,,,,,,,0.000626732174351222,15,76476.66331658291,3,229674.09045226133,1
HI,-2.121677295396355,31,,,,,,,0.000682813911310299,10,61595.69716088328,10,-64702.952681388015,36
TX,-1.3381787111437073,27,,,,,,,0.0006136943749894135,17,44324.894717122515,37,-46505.42425377794,25
LA,13.295853146233537,14,,,,,,,0.0006905921371524671,9,43954.48679245283,39,-24701.656603773583,14
TN,2.562284504359834,21,,,,,,,0.0007686853513079501,6,44640.45949214027,34,-41307.12615880693,21
PA,-13.242946793522934,43,,,,,,,0.0004106485780823134,39,53342.54233409611,21,-85591.39816933639,44
VA,-9.977394060747756,39,,,,,,,0.00046390873068664104,36,46897.91002367798,30,-68405.14496185214,39
AK,47.35179822755618,6,,,,,,,0.00045548988415784297,37,62957.08108108108,8,41000.87687687688,6
AL,-10.41477252441316,40,,,,,,,0.0008348756321764639,3,44421.1447041273,36,-56895.78418697165,28
AR,0.8351134167429559,24,,,,,,,0.0008496931475265317,2,45772.56823623304,33,-44789.72705506784,24
VT,1.8622092893259952,23,,,,,,,0.00034656896722447765,43,48562.23041474654,28,-43188.95852534562,23
IL,-9.797756879631853,38,,,,,,,0.00034690711643518683,42,62036.89117778773,9,-90280.0618002687,45
IN,-18.08101159563585,46,,,,,,,0.00030561524417403735,49,41867.41141141141,47,-101030.07407407407,48
IA,8.814555574158751,18,,,,,,,0.0005234180826317851,31,49900.56894409938,27,-33060.19627329193,16
AZ,-61.48192346950293,52,,,,,,,0.0005098962270424676,32,56878.55698474424,15,-177455.88274005384,52
ID,17.10903176881279,11,,,,,,,0.0003258982570710521,45,44135.56153846154,38,8362.515384615384,10
ME,8.130411744162242,19,,,,,,,0.0004982718547153678,33,49958.283987915405,26,-33641.06344410876,17
MD,37.25725450832756,7,,,,,,,0.0003862983570948123,41,54374.79437609842,20,42072.04217926186,5
MA,-35.35457416348888,50,,,,,,,0.0005575563915479199,25,60548.310428455945,13,-123958.17299919159,49
UT,72.39928355131035,3,,,,,,,0.0005568798477441463,26,51156.74716981132,24,78852.05786163521,3
MO,-12.198269259143267,42,,,,,,,0.0005830433468580138,22,32086.975234842015,52,-53008.694563051526,26
MN,10.943730409999601,17,,,,,,,0.00032505577893976803,46,58747.56775300171,14,-25080.329331046312,15
MI,-9.624897101918595,37,,,,,,,0.00042509793590773536,38,42687.215611613516,45,-65328.814850071394,37
US,-1.5006108743134672,28,,,,,,,0.0005384097328470127,29,55242.65324826603,17,-58029.770164556736,30
MT,28.70877658648398,10,,,,,,,0.0004954420327847324,34,42957.301204819276,43,14988.481927710847,9
MS,6.827215228236347,20,,,,,,,0.00048088885406128383,35,32738.515320334263,51,-18541.440111420612,13
