state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,spending-per-u_value,spending-per-u_rank
WA,39.24204506607685,6,0.19101892459671646,24,0.13341200548206703,34,0.24048245538606175,13,6403.197926102504,17,0.006128507273858811,18
WI,33.5928352737418,15,0.15784161139289724,38,0.1725570377591139,15,0.19629564845587236,31,6283.213333333332,19,0.0053464419384786875,25
WV,23.379954890624944,33,0.1953359993066239,23,0.11691740770605782,40,0.1820659054463026,34,5622.812185430463,24,0.00415805367840773,37
FL,24.62095006804452,31,0.1819989642780657,30,0.1162345523793522,43,0.2183138595885452,21,5331.130770975056,30,0.004618335419962205,30
WY,34.51358417184286,13,0.15941167851782514,37,0.24190782893507579,2,0.22263113655466957,18,4020.074489795919,43,0.00858530961539346,2
NH,21.362490102796876,42,0.08022005060857627,52,0.2677159715857012,1,0.1747534727794718,37,5692.051836734693,23,0.003753038573002824,42
NJ,29.03206813069317,20,0.14661818165077323,43,0.15083765992153267,25,0.17616170447507976,36,7451.931521418021,9,0.0038959118246390816,41
NM,35.24681502108078,11,0.24064911596130628,4,0.19433767884502898,8,0.20985867086036847,24,3591.2999503722085,47,0.009814500461713798,1
NC,35.75331501825957,9,0.2136935258402989,12,0.15811581268041233,21,0.23496117193256721,15,4503.535042735042,39,0.007938944557772602,3
ND,20.384010190367096,46,0.1218460469541913,51,0.18350961769079485,11,0.19604639764744322,32,4650.080666666667,37,0.004383582060519186,32
NE,57.27618578345434,1,0.15443382621120255,40,0.1285685090309441,36,0.3179127384345538,3,9073.79827586207,4,0.006312261309116741,17
NY,44.86148323017809,2,0.18264592017672762,29,0.14710547240914904,27,0.24399094105429112,12,6843.229759368837,14,0.006555600908877819,15
RI,36.99562160941429,7,0.16233260543983613,36,0.1360998241612014,32,0.2444294100958076,11,6850.6778571428595,13,0.0054002862754436495,23
NV,18.432092946551364,50,0.21913892102730806,11,0.20026181754547734,6,0.050833074266701396,52,8262.48347107438,5,0.002230817527330511,50
CO,20.8239678574906,44,0.15165298276582312,41,0.15969282746301114,20,0.1325308529393884,44,6487.989296636087,16,0.003209618096670948,45
CA,22.13878249591981,39,0.2359192590563709,6,0.13981008729491157,29,0.08648028834781353,49,7761.304135373202,8,0.0028524565085678434,46
GA,19.609358242270137,48,0.22879497949715405,8,0.10731278698949348,48,0.22495175847462084,17,3550.38969130028,50,0.00552315659611114,21
CT,33.54620055694476,16,0.12804245283018867,49,0.19105562052964112,9,0.11092913312657537,47,12361.862722513091,1,0.0027136849283928162,49
OK,35.43415713231208,10,0.21954481706369613,10,0.17292106538473714,14,0.18589781957349125,33,5020.843901515152,35,0.0070574106320292155,10
OH,26.208921312406332,29,0.1858174445574481,26,0.11176920978913694,47,0.19911499738396785,30,6337.770531914894,18,0.00413535346229829,38
KS,30.497368510491263,18,0.20238395318901267,20,0.16889117851313978,16,0.2040425278486978,26,4372.790101522842,41,0.006974349969341183,11
SC,19.534038164585542,49,0.21300764599787325,13,0.11695488147496917,39,0.14489243358736364,42,5411.688358208955,27,0.0036096014536673173,44
KY,33.3741835393311,17,0.20767871527477597,16,0.13461273398248189,33,0.22831804331849748,16,5228.682640144665,31,0.006382904803418651,16
