state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,spending-per_value,spending-per_rank
WA,137.18426076615836,7,0.19101892459671646,24,0.19551507568434062,39,0.4961095816115703,5,7404.061651889934,25
WI,89.74143001088433,15,0.15784161139289724,38,0.23396632231797607,25,0.30110679226471465,25,8070.446798021744,21
WV,71.9385087195556,23,0.1953359993066239,23,0.2344832836174376,24,0.26291878589664974,27,5973.730649328872,30
FL,40.861604876794644,40,0.1819989642780657,30,0.1627283157900188,48,0.1660936102627116,37,8306.736774782437,19
WY,49.00542210485072,37,0.15941167851782514,37,0.2215249002560918,29,0.03051558752997601,52,45475.73362238332,1
NH,52.911004158022074,32,0.08022005060857627,52,0.2117180339138405,34,0.6731888313904109,2,4627.733250786009,36
NJ,116.31572239240062,10,0.14661818165077323,43,0.20478355545856602,37,0.31843833358888357,21,12165.50584253395,6
NM,87.34889386257032,18,0.24064911596130628,4,0.27787189342465585,12,0.3402401424416013,16,3839.219715751444,43
NC,51.42415980025386,35,0.2136935258402989,12,0.22022796740866232,31,0.09382087062569364,49,11646.727400919252,7
ND,53.07298654998302,31,0.1218460469541913,51,0.368434307094546,4,0.13812706274343128,44,8559.004276753565,18
NE,25.411728535216636,51,0.15443382621120255,40,0.2863281442695964,9,0.2227566089927316,32,2579.865941405356,50
NY,245.15450571234635,2,0.18264592017672762,29,0.28837952669035516,8,0.38213800874289305,11,12179.942638022734,5
RI,131.99894766742892,8,0.16233260543983613,36,0.2810717850014257,11,0.32595861747712995,20,8875.339830947132,14
NV,35.25645118782276,42,0.21913892102730806,11,0.281911537303111,10,0.16250330565631801,39,3511.9152478489677,46
CO,58.39871093099733,28,0.15165298276582312,41,0.1786765562502427,45,0.24628502309323375,29,8750.779245641632,16
CA,159.47767154702535,4,0.2359192590563709,6,0.2617490843322411,17,0.6063521958764805,4,4259.183631797198,39
GA,51.601456873343636,34,0.22879497949715405,8,0.20636619306108125,36,0.07981057061669336,50,13693.56426921407,3
CT,119.06478063196181,9,0.12804245283018867,49,0.17392206512548627,47,0.38893089358974353,10,13746.818735505263,2
OK,36.872060707097745,41,0.21954481706369613,10,0.2139853055419586,33,0.11027278299419212,46,7117.4091924876,26
OH,87.0802493494957,19,0.1858174445574481,26,0.2640153947266243,16,0.33348635371840357,18,5322.624910880953,33
KS,52.24377229490809,33,0.20238395318901267,20,0.18046359643215124,44,0.3018717258638349,24,4738.560253621256,35
SC,31.12941865051979,49,0.21300764599787325,13,0.2965649947745996,6,0.12165017606955109,45,4050.82226104915,41
KY,58.255889383913484,29,0.20767871527477597,16,0.2209205904584056,30,0.3124213535036654,23,4064.161370182704,40
OR,86.1297501230389,20,0.1800063775922546,31,0.21621955564750642,32,0.6265507840738778,3,3531.945931621241,45
SD,32.42894051517339,47,0.18472329850197902,27,0.24228407316233885,23,0.18447910122998212,34,3927.706657454473,42
DE,91.86841402881922,13,0.1748723577508918,33,0.2928658803247622,7,0.32723774049364407,19,5481.670035868655,31
DC,264.7936028522955,1,0.16244065742585878,35,0.4131682671987576,3,0.4456775585134433,7,8852.481446224743,15
HI,175.93500419994834,3,0.18852268834528713,25,0.46633230493160605,2,0.24510293314755807,30,8164.7825160825405,20
TX,32.733226787133475,44,0.2635883925629582,2,0.1599677857328599,49,0.09699880855839327,48,8003.198793768849,22
LA,53.37038478479121,30,0.23697664507178381,5,0.20013902266502123,38,0.10253167270481336,47,10975.011145814626,10
TN,50.35152554078695,36,0.20920341348113847,15,0.32863277692565784,5,0.33470894453894445,17,2188.0924716945956,52
PA,67.56553716072375,24,0.1477084642141198,42,0.2590963859595084,19,0.35805295418203953,12,4930.730146397929,34
VA,31.45147852304074,48,0.13825306970081755,45,0.19475187739962846,40,0.3476081293850729,14,3360.428859786991,47
AK,96.29321069717085,12,0.17030926864087043,34,0.5050164868850557,1,0.16480971210086975,38,6793.115933707961,28
AL,33.709125398698326,43,0.20578897130666182,18,0.22269769706313425,27,0.2427713772657333,31,3029.7875756411927,49
AR,59.31897169511763,26,0.23424629563258761,7,0.17507826074206578,46,0.1451086875259444,42,9967.706565609691,12
VT,102.89743365672834,11,0.12631881938039657,50,0.2543066875787417,21,0.40335957722990334,9,7941.203604919435,23
IL,88.6242471398111,17,0.20324030302244375,19,0.154402702870969,50,0.21949633594133494,33,12866.503771763053,4
IN,32.59113125409776,45,0.2068636017086842,17,0.20909663918321547,35,0.1715318198863212,36,4392.619706343944,37
IA,61.4384110126604,25,0.15626947385690526,39,0.18722735036945942,43,0.48026651952522464,6,4372.3429776350495,38
AZ,47.83840326886214,38,0.22505490018461485,9,0.19278622198952597,41,0.13951543405207473,43,7902.963114080088,24
ID,20.682410395912157,52,0.27107353277469437,1,0.15174178081872328,51,0.044108642646287576,51,11399.48327358546,9
ME,85.09984179380632,21,0.13999167592894124,44,0.2611729594520607,18,0.9153089356134563,1,2542.9078796325243,51
MD,89.38978629432725,16,0.13481150842529233,46,0.2553369918266624,20,0.2922351293525896,26,8886.173171231718,13
MA,150.32677398270923,6,0.13324200269701242,47,0.2727571724070753,14,0.4108001137787695,8,10069.048924208188,11
UT,32.44807077418707,46,0.2124421932756547,14,0.12766966503044044,52,0.17545919310667715,35,6818.427976463938,27
MO,59.31777338401708,27,0.17926386260351343,32,0.24960165470846957,22,0.34673411585876546,15,3823.3852077642564,44
MN,78.6824868036844,22,0.1314665470169397,48,0.19255158710304554,42,0.35683493971647795,13,8710.60553003109,17
MI,152.43959602243424,5,0.18445347146234192,28,0.27283056451356563,13,0.2613852310612095,28,11588.757875273452,8
US,89.99716372430125,14,0.19703381801396372,21,0.22466262783420185,26,0.31406346160993165,22,6473.509687259142,29
MT,44.10139687795032,39,0.1967789790317636,22,0.2642203852803667,15,0.15737928627092065,40,5389.639903563315,32
MS,27.042501260017094,50,0.24363635615065035,3,0.22233433270479486,28,0.1536076407032656,41,3250.0153561482157,48
