state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,555.0921686550446,22,0.795665662508655,20,0.9527479470743474,6,10857.538523055098,49,3.0628502690941382e-06,26,4964.117299524888,12,17054.97019370202,20
WI,640.7585615648725,13,0.7967013503146262,18,0.8894158901966356,21,14565.544094732375,24,4.025775682042019e-06,17,2282.5931477537215,28,13138.590028263705,27
WV,643.2433538955984,12,0.8170734138046762,5,0.8185863929575459,42,15484.860181848057,16,4.146948873861409e-06,14,2805.3218209081215,25,12171.295655811264,30
FL,345.2797345961358,47,0.8169377962793261,6,0.8788606733311658,29,13771.284495788854,33,1.4122525638521962e-06,46,3210.2073845208324,21,21517.009958015835,11
WY,1298.4088903834854,3,0.7884391039586197,31,0.926251800063758,11,22005.629129069246,1,6.389060960005292e-06,8,2104.529704019603,32,10541.186717668243,33
NH,447.1038683959776,38,0.8185131730413374,4,0.9843781640112473,5,12111.21857769086,43,2.5723771404652305e-06,35,4666.140225013555,14,13145.269705871753,26
NJ,302.81004957187923,52,0.7845487832356918,37,0.8673018694923859,34,12289.801692869602,41,1.150470714351074e-06,50,9880.103245046577,2,21594.4522457231,10
NM,490.33528831033766,26,0.7815138103630731,39,0.878055831945586,30,17869.34381537042,5,5.588942117096452e-06,11,1181.4465341449106,47,5973.331155016241,47
NC,399.95236034291935,41,0.7915561887905036,25,0.8654084188489384,36,15717.756841003624,12,2.141751053148142e-06,40,2864.024403212377,24,14479.839007924507,22
ND,1796.33036674956,1,0.8001439351294347,13,0.8884988378616655,23,20209.01929589204,2,1.745743749238402e-05,2,623.3589799244827,51,6538.660460985448,46
NE,635.0807092693185,14,0.7774929169538779,45,0.9452166462871925,8,14136.55573116084,27,9.895995891401598e-06,4,1157.6419097043631,48,5019.648264179908,50
NY,353.23744309470936,46,0.79539973703457,21,0.7206450521605123,52,11408.710970748734,46,1.892237829076641e-06,42,8801.69403001684,4,19744.458490881763,14
RI,399.1936441527326,42,0.8069581441655576,8,0.8825947631010768,28,10413.245837008106,50,1.7494637358450068e-06,43,6495.344029850691,10,24271.30495954668,9
NV,605.338545211043,16,0.7882667421590458,32,0.7956560895966053,48,13951.47764992535,31,3.409952196465429e-06,23,1999.0694863144313,33,18288.55677264116,17
CO,453.3345378178939,37,0.7879715523346936,33,0.9307622565980895,10,12282.769842441827,42,3.937428024969467e-06,19,2399.0350405463155,27,10381.839238914949,35
CA,462.6185212956069,34,0.7866181608384885,34,0.808292937607633,46,13481.744527663881,35,1.2089339275363187e-06,49,8563.322800432465,5,36078.467597367024,4
GA,308.816009678395,51,0.7768944450045367,46,0.8540773857723628,38,16331.830418558955,8,2.4709326761759413e-06,37,1780.8884623777906,38,9752.177970189707,38
CT,472.5141763684348,31,0.806337258183789,9,0.8576529154653745,37,12579.660893395363,40,1.4601956857470715e-06,45,7889.215252328163,7,29307.668017465847,5
OK,546.4510766011215,23,0.7801283658439652,43,0.8031268763877714,47,20017.081684432007,3,4.894822481837669e-06,13,1283.7911538048895,46,7617.711987016953,44
OH,440.0794362275289,39,0.7961954656177903,19,0.8705424455855449,32,14078.50821386296,29,2.331372481554206e-06,39,3952.273946167468,15,15392.030561976164,21
KS,593.8964630906947,17,0.7757600054886301,47,0.8894894044488674,20,15352.221442918664,17,9.38470425485537e-06,5,1112.760307336802,49,4861.040770742309,52
SC,318.8977053208377,49,0.7971050397649949,17,0.9107287301513511,16,14303.062474274362,26,2.8553542018226964e-06,29,1872.852508560255,36,8883.32044953933,41
KY,566.7555233131781,21,0.7808322867868227,40,0.8721668622695604,31,15859.502186618025,11,3.4936476812012156e-06,22,1733.3989621062758,39,13286.59504501797,25
OR,459.9475104932844,35,0.8048951902744619,10,0.8826388641033616,27,11976.874954358682,44,3.693359934316026e-06,20,3279.42672485752,20,11356.517477310039,32
SD,1122.1048670827222,4,0.7802143548742726,42,0.9163067584918875,15,15275.681293446196,18,1.840270611941686e-05,1,584.6262763290022,52,4998.742842939642,51
DE,479.28248049637847,30,0.789945478202733,28,0.9853110511593487,4,12871.543031779016,37,1.5033152365948095e-06,44,5836.384808234594,11,25986.563314229934,8
DC,827.4754346182917,7,0.8392368984630889,1,0.7524040761874026,51,8907.462464476936,52,9.562226948610122e-07,52,15165.53792821768,1,138687.59773559382,1
HI,455.892806113877,36,0.8034192391255961,11,0.8177421300743984,43,10982.842647878273,48,9.58765936948546e-07,51,9149.866506145387,3,56748.823463782806,3
TX,385.9751329230439,43,0.7612063988234727,51,0.7678601895833616,50,15593.550274240057,14,2.8393381501904475e-06,30,2138.8562776496674,31,12775.778419940314,29
LA,589.5973804406933,18,0.7842818189241356,38,0.8095836066563347,44,16037.32757066282,10,2.7673727864417757e-06,32,3131.2850931077437,22,17791.621996189966,19
TN,384.5635836166847,44,0.7950469832198249,22,0.8912159751559233,19,15559.439956474505,15,2.839150571219995e-06,31,1885.731124539053,35,10400.254788011229,34
PA,608.0188610171477,15,0.7987430426036937,14,0.8654459522138419,35,11201.813075332026,47,2.5288269428691968e-06,36,4742.533483733136,13,26307.536323294615,7
VA,490.1018158224976,27,0.7982037297724931,16,0.8468597955357935,40,14617.488514349785,23,1.997265597619584e-06,41,3505.840424141204,17,21328.490318144126,12
AK,1657.17615421547,2,0.7704919153965156,50,0.9344549540913061,9,9103.993334311657,51,6.85728643881262e-06,7,8456.75368827131,6,28411.960906922963,6
AL,463.5114512056501,33,0.7946861888903004,23,0.9997737951325728,3,16971.599919784654,7,3.2678833525959248e-06,25,1900.3245243334177,34,8618.657718643735,42
AR,486.89621266063136,28,0.7856769402909165,35,0.9490621643304389,7,15243.127303302532,19,6.1176097199582415e-06,9,1299.9293576726798,45,5702.389546086353,49
VT,1067.9371001280867,5,0.8261325778023375,2,1.0236393548474403,2,13627.278875771715,34,4.067745844674337e-06,15,3821.034059564052,16,18960.65906359281,15
IL,502.5754319075161,25,0.7904489930411178,27,0.8093260717097287,45,12698.111342733415,39,2.8973287955988563e-06,28,3282.694095403854,19,18070.70216265102,18
IN,430.9384498852184,40,0.7709533054170072,49,1.0658982593777362,1,14690.513462936708,22,2.5731569848994944e-06,34,1808.3142408751369,37,12064.61461420353,31
IA,767.5991202674959,9,0.7910121637810942,26,0.8928520053824295,18,14544.393515380221,25,7.431372893937942e-06,6,1677.5391519489845,40,8378.041591340367,43
AZ,353.54416772062507,45,0.7808280543897443,41,0.9176226092157648,14,12800.073878399919,38,2.359588895178282e-06,38,2443.4465252979044,26,13893.667607725783,24
ID,530.554215055246,24,0.7755833265437863,48,0.8832044592662865,26,14926.72914477249,20,6.096093369274586e-06,10,1428.8298709754122,44,7083.016755129989,45
ME,580.9315425653624,19,0.8253534568927104,3,0.9194132914082064,13,14083.48257512969,28,3.308867861038406e-06,24,3493.8894096552644,18,12934.111588172844,28
MD,781.0292542931139,8,0.7847304881565439,36,0.8859426537096435,24,13787.49060028754,32,1.257404237618662e-06,48,6755.46963157716,8,58045.426952417096,2
MA,315.8213650020155,50,0.8025436050114869,12,0.8843277651442182,25,11842.30407301154,45,1.3718833139291959e-06,47,6732.2407100166465,9,20658.654410727242,13
UT,673.890110444334,10,0.7200330345328548,52,0.8701198637633194,33,14829.77867960367,21,3.6400120228348036e-06,21,1576.2630202330045,43,18349.73533381311,16
MO,482.96834620659183,29,0.7933903829547535,24,0.8970981507823613,17,16125.171027078073,9,3.956409597273315e-06,18,1646.538907985577,41,8989.653826104635,40
MN,661.1286999720293,11,0.789263494972229,30,0.7821937055937013,49,17156.061253539086,6,5.004183714495598e-06,12,2274.8356211064483,29,10198.966320967244,36
MI,320.1624800792248,48,0.7985214846945016,15,0.8892089530115125,22,13470.843806137964,36,2.714577341982577e-06,33,2242.593814265283,30,10087.971353547917,37
US,467.71231127253884,32,0.7895556407098743,29,0.8533608198668207,39,14030.509621401034,30,2.8981975486027504e-06,27,2954.3780265988985,23,14116.738668715427,23
MT,1030.9890037735174,6,0.8159283618676771,7,0.9240020923231493,12,15683.472610402052,13,1.286179835137032e-05,3,1072.36177449553,50,5706.942439349628,48
MS,580.4700186227223,20,0.7791434217519156,44,0.8415523059327464,41,19748.48048217449,4,4.059184629245238e-06,16,1605.6348521756775,42,9437.917140870266,39
