state,spending_value,spending_rank,demographics_value,demographics_rank,eligibility_value,eligibility_rank,takeup_value,takeup_rank,units_value,units_rank,payroll_value,payroll_rank,nonpayroll_value,nonpayroll_rank
WA,115.99380829644774,14,,,,,,,0.0008320373532279873,23,50727.65981178111,3,88681.71627744858,11
WI,66.65789793616923,34,,,,,,,0.0005703168341459257,43,43000.07228177642,13,73878.64134762634,23
WV,63.786117966097315,36,,,,,,,0.0008026663606837855,27,24078.644295302012,52,55389.14093959732,34
FL,113.09392585177247,16,,,,,,,0.0009347331321924581,17,36160.90426707937,33,84829.69931461419,15
WY,217.9554960798623,2,,,,,,,0.0018478296668532985,1,41273.48217636022,16,76678.67542213884,22
NH,35.322868363433805,51,,,,,,,0.0004987523622622317,50,37788.43702579666,26,33034.02124430956,45
NJ,58.745268138801265,38,,,,,,,0.0008390040558810275,22,46321.590439103,8,23696.26910165167,50
NM,143.67354026731346,9,,,,,,,0.0011992742951385258,8,33984.4176,38,85815.9824,13
NC,77.91699805327784,29,,,,,,,0.0008164600144375654,25,34633.37806257067,36,60799.33961552959,33
ND,175.37141676345473,3,,,,,,,0.0015077561083361242,3,33903.674858223065,39,82409.17958412098,18
NE,95.90581879582018,19,,,,,,,0.0007421232269479657,33,36653.986928104576,29,92577.67610748002,10
NY,103.93326104674114,17,,,,,,,0.0007337633127523953,34,47080.69757419893,6,94563.42559254884,8
RI,27.175560045865765,52,,,,,,,0.0005357972406442107,45,40506.72340425532,20,10213.134751773054,52
NV,171.905583713971,4,,,,,,,0.0012840963326310364,6,50874.01017524025,2,82998.79932165064,16
CO,170.88207370636528,5,,,,,,,0.0014263126072744062,4,42648.90587440918,14,77157.98136394328,21
CA,102.9447927870744,18,,,,,,,0.0008851691862759367,20,49028.712216549924,4,67270.85444615933,26
GA,60.81439661256175,37,,,,,,,0.000763988305272709,31,31898.435471100554,44,47702.778569543414,41
CT,47.5906433464409,48,,,,,,,0.0006023322080525,42,46818.37413394919,7,32192.24942263279,46
OK,79.08680478871298,26,,,,,,,0.0006243026371874263,39,32497.25388166177,42,94182.98111624003,9
OH,78.7941996905696,27,,,,,,,0.0007747447580063235,30,39274.75829701643,23,62428.672253883116,31
KS,78.76530769939771,28,,,,,,,0.0009608567807105143,13,36287.20807789398,32,45686.82726289218,42
SC,73.29192835927338,33,,,,,,,0.0009162285095500994,19,31176.898544025884,48,48816.16824589785,40
KY,37.43408467958567,50,,,,,,,0.0007519165774107926,32,26552.65776699029,51,23232.23300970874,51
OR,94.01659636944159,20,,,,,,,0.0009523726467700383,15,43446.40237005117,12,55271.88472932939,35
SD,154.94473363818508,7,,,,,,,0.0008831593377623115,21,35608.85210312076,34,139834.83853459972,2
DE,53.45731888871075,46,,,,,,,0.0006096756285712104,41,35496.686940966014,35,52184.887298747766,37
DC,284.8592214663643,1,,,,,,,0.0010440287226001512,12,53406.244343891405,1,219439.90950226248,1
HI,161.72422359534912,6,,,,,,,0.0016126183436413583,2,39373.3463935886,22,60913.385574354405,32
TX,64.65853123705901,35,,,,,,,0.0006507904256319607,37,33844.214344600165,40,65509.63090330939,29
LA,122.01416625983985,13,,,,,,,0.001102341411379221,11,32958.144208037826,41,77728.22301024428,20
TN,57.30021035829072,42,,,,,,,0.000777205644399836,29,31292.517440701613,47,42433.41439107036,43
PA,57.73191210084414,39,,,,,,,0.0004583383156971359,51,44239.83803177858,10,81719.3282077567,19
VA,83.05443073724263,23,,,,,,,0.0011401829418770325,10,36845.45150931278,28,35997.622778848214,44
AK,134.3503661017042,11,,,,,,,0.0009438078680748098,16,46044.7652173913,9,96304.51014492754,6
AL,54.88508109212194,44,,,,,,,0.0009245489969452934,18,30504.185900314325,49,28859.981140547818,49
AR,48.66985386362866,47,,,,,,,0.0008045977011494253,26,31577.355246523388,46,28912.320269700802,48
VT,53.81880671673018,45,,,,,,,0.0005174578128144274,48,41106.666666666664,18,62899.506172839516,30
IL,131.05383406545545,12,,,,,,,0.0014071254845999573,5,41185.69252001104,17,51950.16174441071,38
IN,79.7707793892345,25,,,,,,,0.000540868620320018,44,34420.60180995475,37,113065.82352941176,3
IA,87.41699678309197,22,,,,,,,0.0006778426722281192,36,40981.59424460432,19,87981.95491606714,12
AZ,74.40641245983214,31,,,,,,,0.0007094009428580667,35,39183.80563319716,24,65702.4553859385,28
ID,57.72974260304966,40,,,,,,,0.0006411421480455506,38,36634.15835777126,30,53407.87487781036,36
ME,74.25981791249684,32,,,,,,,0.0006224634801353613,40,36622.432889963726,31,82677.446191052,17
MD,113.80033908034174,15,,,,,,,0.0011982717052238026,9,44156.68725212465,11,50813.709348441924,39
MA,38.4695880858718,49,,,,,,,0.0005251036347237887,47,42456.326180257514,15,30804.61802575107,47
UT,146.03876304026977,8,,,,,,,0.0012429978488326888,7,31939.364327979714,43,85549.78754578755,14
MO,82.83713240926025,24,,,,,,,0.0007929920612831169,28,31788.24110506488,45,72673.24905818334,24
MN,137.12410198462445,10,,,,,,,0.0009597415908776227,14,47846.54453911696,5,95029.52052672347,7
MI,57.698698635811965,41,,,,,,,0.00041488020827168555,52,37086.5866861741,27,101986.56620336504,5
US,88.2675832668873,21,,,,,,,0.0008284622535272266,24,39990.33067670906,21,66553.54973677133,27
MT,55.84367908488474,43,,,,,,,0.0005073803950205091,49,39054.8,25,71007.94509803921,25
MS,74.69081291313827,30,,,,,,,0.0005354744273286859,46,27749.320825515948,50,111735.98248905566,4
