Rent_At_Level,Gap,Total,At_This_Level,Vacant,Substandard,Substandard_Vacant,eli_old,vli_old,li_old,Gap_No_Assisted,Per100,Per100_No_Assisted,county,eli,vli,li
Extremely low (0-30% AMI),8185518,11471157,3205570,206840,96258,30513,3174321.29,790814.59,200196.12,10815011,28.64261208,5.7199635573,,2629493,718197,156484
Very low (31-50%),982119,7759384,5958062,1092380,124869,148308,3174321.29,790814.59,200196.12,1700316,87.34282258,78.086971852,,2629493,718197,156484
Low (51-80%),-4493524,8360147,11509592,1685305,167451,173775,3174321.29,790814.59,200196.12,-4337040,153.749342,151.8775567,,2629493,718197,156484
Middle (81-120%),2852042,7157766,3931991,493249,68593,50923,3174321.29,790814.59,200196.12,2852042,60.15457896,60.154578957,,2629493,718197,156484
High (over 120%),5558546,6993308,1338505,232830,102891,33682,3174321.29,790814.59,200196.12,5558546,20.5162135,20.5162135,,2629493,718197,156484
Extremely low (0-30% AMI),496.0556328,802.8776078,383.286509,,76.46453408,,169.2,64.04,10.76,640.0556328,38.21528611,20.279800236,01001,144,58,7
Very low (31-50%),-106.3435327,503.123783,438.5465925,170.9207232,0,0,169.2,64.04,10.76,-48.3435327,121.1366539,109.6086757,01001,144,58,7
Low (51-80%),-22.16828929,955.1641168,970.5855355,27.30876217,20.56189152,0,169.2,64.04,10.76,-15.16828929,102.320888,101.58802964,01001,144,58,7
Middle (81-120%),835.0055633,1033.235049,198.2294854,,0,,169.2,64.04,10.76,835.0055633,19.18532338,19.185323407,01001,144,58,7
High (over 120%),1265.198887,1265.198887,94.77746871,,94.77746871,,169.2,64.04,10.76,1265.198887,0,0,01001,144,58,7
Extremely low (0-30% AMI),3981,6831,2335,902,0,387,572.26,133.07,21.67,4473,41.72156346,34.519104084,01003,492,161,18
Very low (31-50%),1574,5270,2875,894,0,73,572.26,133.07,21.67,1735,70.13282732,67.077798861,01003,492,161,18
Low (51-80%),-5598,5989,9966,1621,0,0,572.26,133.07,21.67,-5580,193.4713642,193.17081316,01003,492,161,18
Middle (81-120%),3269,4468,1600,,401,,572.26,133.07,21.67,3269,26.83527305,26.835273053,01003,492,161,18
High (over 120%),3340,4935,630,1088,123,0,572.26,133.07,21.67,3340,32.32016211,32.320162107,01003,492,161,18
Extremely low (0-30% AMI),633.6981132,913.1698113,352.509434,,73.03773585,,539.23,234.4,105.37,1112.6981132,30.60457044,-21.85007645,01005,479,227,84
Very low (31-50%),-58.90566038,433.4716981,457.9056604,77.9245283,0,43.45283019,539.23,234.4,105.37,168.09433962,113.5892748,61.221380691,01005,479,227,84
Low (51-80%),-87.43396226,605.0377359,567.9245283,140.3962264,0,15.8490566,539.23,234.4,105.37,-3.43396226,114.4509932,100.56756167,01005,479,227,84
Middle (81-120%),160.4716981,389.6226415,229.1509434,,0,,539.23,234.4,105.37,160.4716981,58.81355932,58.813559324,01005,479,227,84
High (over 120%),374.3018868,381.8301887,7.528301887,,0,,539.23,234.4,105.37,374.3018868,1.971636112,1.9716361154,01005,479,227,84
Extremely low (0-30% AMI),221.3298796,585.9079689,324.8197471,57.48499162,0,17.7266494,88,20.5,11.5,302.3298796,62.22446333,48.399766576,01007,81,20,9
Very low (31-50%),71.91954899,283.1199147,211.2003657,12.66189243,0,12.66189243,88,20.5,11.5,91.91954899,74.59749553,67.533350988,01007,81,20,9
Low (51-80%),-58.24470517,219.050739,277.2954442,,0,,88,20.5,11.5,-49.24470517,126.5895954,122.48095825,01007,81,20,9
Middle (81-120%),142.4884961,158.6113058,16.12280969,,0,,88,20.5,11.5,142.4884961,10.16498137,10.164981379,01007,81,20,9
High (over 120%),124.0865458,124.0865458,,,,,88,20.5,11.5,124.0865458,0,0,01007,81,20,9
Extremely low (0-30% AMI),512.7729902,1083.263736,536.7047426,33.78600347,0,0,304.85,99.25,11.9,814.7729902,52.66406758,24.785353453,01009,302,101,14
Very low (31-50%),11.96587623,970.2917872,705.2828224,253.0430885,0,0,304.85,99.25,11.9,112.96587623,98.76677548,88.357535566,01009,302,101,14
